time,temperature,conversion
753.798,415.0238,0.011330227
753.9,415.0385,0.011374811
754.002,415.0537,0.011419475
754.098,415.0696,0.011461589
754.2,415.0842,0.011506417
754.302,415.0992,0.011551332
754.398,415.1137,0.01159369
754.5,415.1289,0.011638786
754.602,415.1437,0.011683972
754.698,415.1586,0.011726579
754.8,415.1734,0.011771932
754.902,415.1887,0.011817368
754.998,415.2038,0.011860214
755.1,415.2188,0.011905829
755.202,415.234,0.01195154
755.298,415.2498,0.011994647
755.4,415.2638,0.012040536
755.502,415.2793,0.012086518
755.598,415.2942,0.01212988
755.7,415.3098,0.012176043
755.802,415.3239,0.012222296
755.898,415.3385,0.012265911
756,415.3542,0.012312343
756.102,415.3687,0.01235887
756.198,415.3843,0.012402746
756.3,415.3983,0.012449452
756.402,415.4134,0.01249625
756.498,415.4288,0.012540379
756.6,415.4444,0.01258735
756.702,415.4599,0.012634411
756.798,415.4739,0.012678786
756.9,415.4898,0.012726023
757.002,415.5034,0.012773354
757.098,415.5187,0.012817991
757.2,415.5339,0.012865504
757.302,415.5483,0.012913108
757.398,415.5638,0.012957996
757.5,415.5784,0.013005778
757.602,415.5943,0.013053647
757.698,415.609,0.01309878
757.8,415.6241,0.013146818
757.902,415.6385,0.013194943
757.998,415.6542,0.013240317
758.1,415.6681,0.013288618
758.202,415.6833,0.013337011
758.298,415.699,0.01338264
758.4,415.7134,0.013431212
758.502,415.7288,0.013479874
758.598,415.7437,0.013525755
758.7,415.7585,0.013574596
758.802,415.7741,0.013623531
758.898,415.789,0.01366968
759,415.8031,0.013718803
759.102,415.8187,0.013768013
759.198,415.8334,0.013814411
759.3,415.8481,0.013863797
759.402,415.8643,0.013913272
759.498,415.8791,0.013959925
759.6,415.8936,0.014009591
759.702,415.9081,0.014059353
759.798,415.9237,0.01410627
759.9,415.9384,0.014156207
760.002,415.9538,0.014206234
760.098,415.9684,0.014253403
760.2,415.9834,0.014303621
760.302,415.998,0.01435394
760.398,416.0138,0.014401387
760.5,416.0287,0.014451894
760.602,416.044,0.014502499
760.698,416.0588,0.014550213
760.8,416.0749,0.014600994
760.902,416.0881,0.014651864
760.998,416.1035,0.014699827
761.1,416.1192,0.01475088
761.202,416.1337,0.014802027
761.298,416.1484,0.014850254
761.4,416.1638,0.01490159
761.502,416.1799,0.014953024
761.598,416.1942,0.01500152
761.7,416.2089,0.015053142
761.802,416.2238,0.015104862
761.898,416.2402,0.015153628
762,416.2541,0.015205536
762.102,416.2694,0.015257539
762.198,416.2852,0.015306571
762.3,416.2994,0.015358762
762.402,416.3144,0.015411046
762.498,416.3295,0.015460339
762.6,416.3449,0.015512804
762.702,416.3599,0.015565359
762.798,416.375,0.015614905
762.9,416.3891,0.015667638
763.002,416.4042,0.015720461
763.098,416.4197,0.015770257
763.2,416.4347,0.015823253
763.302,416.4493,0.015876341
763.398,416.4644,0.015926392
763.5,416.4793,0.015979662
763.602,416.4939,0.016033025
763.698,416.5093,0.016083331
763.8,416.525,0.016136869
763.902,416.5393,0.0161905
763.998,416.5544,0.016241061
764.1,416.5696,0.016294877
764.202,416.5846,0.016348788
764.298,416.5999,0.016399613
764.4,416.6133,0.016453703
764.502,416.6291,0.016507885
764.598,416.6437,0.016558972
764.7,416.6594,0.016613348
764.802,416.6736,0.016667822
764.898,416.6889,0.016719183
765,416.7047,0.016773848
765.102,416.719,0.016828603
765.198,416.7343,0.01688022
765.3,416.7493,0.016935153
765.402,416.7645,0.016990182
765.498,416.7795,0.017042062
765.6,416.7941,0.017097276
765.702,416.809,0.017152585
765.798,416.8239,0.017204726
765.9,416.8397,0.017260214
766.002,416.8547,0.017315791
766.098,416.8691,0.017368185
766.2,416.8839,0.017423953
766.302,416.8991,0.01747982
766.398,416.9143,0.017532485
766.5,416.93,0.017588537
766.602,416.9447,0.017644684
766.698,416.9595,0.01769761
766.8,416.9746,0.01775393
766.902,416.9895,0.017810339
766.998,417.0052,0.017863513
767.1,417.02,0.017920101
767.202,417.0348,0.017976784
767.298,417.0497,0.018030218
767.4,417.0649,0.018087087
767.502,417.0788,0.01814405
767.598,417.0949,0.018197748
767.7,417.1092,0.018254894
767.802,417.1242,0.018312132
767.898,417.1393,0.018366085
768,417.1544,0.018423499
768.102,417.1694,0.018481002
768.198,417.1844,0.018535202
768.3,417.2002,0.018592878
768.402,417.2146,0.018650647
768.498,417.2289,0.018705102
768.6,417.2445,0.018763053
768.702,417.2588,0.018821098
768.798,417.2737,0.018875818
768.9,417.2889,0.018934048
769.002,417.3042,0.018992368
769.098,417.3195,0.019047337
769.2,417.3341,0.01910583
769.302,417.3496,0.019164415
769.398,417.3654,0.01921964
769.5,417.3801,0.01927841
769.602,417.395,0.019337278
769.698,417.4095,0.019392775
769.8,417.4251,0.019451837
769.902,417.4397,0.019510994
769.998,417.4553,0.01956676
770.1,417.4711,0.019626106
770.202,417.4842,0.01968554
770.298,417.4998,0.019741562
770.4,417.5141,0.019801178
770.502,417.5293,0.019860887
770.598,417.5445,0.019917167
770.7,417.5595,0.019977052
770.802,417.5744,0.020037023
770.898,417.59,0.020093552
771,417.6042,0.020153708
771.102,417.6195,0.020213954
771.198,417.6344,0.020270738
771.3,417.6494,0.020331163
771.402,417.6645,0.020391677
771.498,417.68,0.020448713
771.6,417.6947,0.020509406
771.702,417.7102,0.020570191
771.798,417.7238,0.020627489
771.9,417.7403,0.020688462
772.002,417.7549,0.020749527
772.098,417.7698,0.020807086
772.2,417.7845,0.020868333
772.302,417.7996,0.02092967
772.398,417.8149,0.020987481
772.5,417.8293,0.021048994
772.602,417.845,0.021110599
772.698,417.86,0.021168674
772.8,417.8747,0.021230475
772.902,417.89,0.021292372
772.998,417.9056,0.021350717
773.1,417.9193,0.021412798
773.202,417.9353,0.021474973
773.298,417.9507,0.021533575
773.4,417.9648,0.021595934
773.502,417.9805,0.021658389
773.598,417.9953,0.021717258
773.7,418.0107,0.021779903
773.802,418.0254,0.021842647
773.898,418.0416,0.021901788
774,418.0561,0.021964713
774.102,418.0698,0.022027725
774.198,418.0856,0.022087111
774.3,418.1009,0.022150296
774.402,418.116,0.022213576
774.498,418.1303,0.022273228
774.6,418.1451,0.02233671
774.702,418.1607,0.022400295
774.798,418.1759,0.022460233
774.9,418.1912,0.022524014
775.002,418.206,0.02258789
775.098,418.2203,0.022648098
775.2,418.236,0.022712159
775.302,418.2507,0.022776313
775.398,418.2649,0.022836781
775.5,418.2803,0.022901123
775.602,418.2958,0.022965559
775.698,418.3109,0.023026297
775.8,418.3256,0.023090922
775.902,418.341,0.023155639
775.998,418.3562,0.02321664
776.1,418.3707,0.023281548
776.202,418.3855,0.023346549
776.298,418.401,0.023407808
776.4,418.4158,0.023472984
776.502,418.4305,0.02353825
776.598,418.4452,0.023599759
776.7,418.4601,0.023665201
776.802,418.4756,0.023730732
776.898,418.4904,0.023792493
777,418.5053,0.023858206
777.102,418.5204,0.023924011
777.198,418.5358,0.023986028
777.3,418.5515,0.024052012
777.402,418.5658,0.024118092
777.498,418.581,0.02418037
777.6,418.5956,0.024246631
777.702,418.6111,0.024312987
777.798,418.6258,0.024375532
777.9,418.641,0.024442082
778.002,418.6557,0.024508728
778.098,418.6705,0.024571542
778.2,418.6866,0.024638376
778.302,418.7007,0.024705302
778.398,418.7161,0.024768379
778.5,418.7299,0.024835493
778.602,418.7449,0.024902702
778.698,418.7611,0.024966046
778.8,418.7749,0.025033444
778.902,418.7898,0.025100942
778.998,418.8061,0.025164564
779.1,418.8199,0.025232259
779.202,418.8352,0.02530005
779.298,418.8499,0.025363944
779.4,418.8653,0.025431931
779.502,418.8809,0.025500014
779.598,418.8963,0.02556418
779.7,418.9108,0.025632453
779.802,418.9261,0.025700825
779.898,418.9401,0.025765269
780,418.9561,0.025833841
780.102,418.9704,0.025902514
780.198,418.9858,0.025967247
780.3,419.0006,0.026036132
780.402,419.016,0.026105118
780.498,419.0311,0.026170137
780.6,419.0453,0.026239317
780.702,419.0606,0.026308598
780.798,419.0749,0.026373901
780.9,419.0909,0.026443388
781.002,419.1045,0.026512979
781.098,419.1206,0.026578573
781.2,419.1359,0.026648364
781.302,419.1503,0.026718254
781.398,419.1654,0.026784129
781.5,419.1799,0.026854227
781.602,419.1953,0.026924433
781.698,419.2107,0.026990608
781.8,419.2253,0.027061025
781.902,419.2407,0.027131549
781.998,419.2556,0.027198025
782.1,419.2697,0.027268761
782.202,419.2859,0.027339605
782.298,419.3019,0.027406378
782.4,419.3158,0.02747743
782.502,419.3306,0.027548589
782.598,419.3463,0.027615663
782.7,419.3605,0.027687037
782.802,419.3756,0.027758521
782.898,419.3902,0.027825903
783,419.4059,0.027897606
783.102,419.4202,0.027969418
783.198,419.4355,0.028037109
783.3,419.45,0.028109142
783.402,419.4647,0.028181291
783.498,419.4812,0.028249299
783.6,419.4944,0.028321663
783.702,419.5103,0.028394137
783.798,419.5248,0.028462451
783.9,419.5404,0.028535146
784.002,419.5551,0.028607955
784.098,419.5701,0.02867658
784.2,419.5853,0.028749603
784.302,419.6005,0.028822739
784.398,419.6155,0.028891673
784.5,419.6299,0.028965018
784.602,419.6453,0.029038467
784.698,419.6603,0.029107696
784.8,419.6751,0.02918136
784.902,419.6905,0.029255134
784.998,419.7053,0.029324674
785.1,419.7202,0.029398675
785.202,419.7352,0.029472792
785.298,419.7506,0.029542655
785.4,419.7655,0.029616993
785.502,419.7802,0.029691441
785.598,419.7953,0.029761613
785.7,419.8093,0.029836279
785.802,419.8258,0.029911052
785.898,419.8403,0.029981526
786,419.8556,0.030056514
786.102,419.8711,0.030131612
786.198,419.8866,0.030202395
786.3,419.9017,0.030277708
786.402,419.9164,0.030353129
786.498,419.9309,0.030424215
786.6,419.9458,0.030499853
786.702,419.9609,0.030575601
786.798,419.9762,0.030646996
786.9,419.9914,0.030722965
787.002,420.0069,0.030799047
787.098,420.0207,0.030870759
787.2,420.0349,0.030947065
787.302,420.0507,0.031023478
787.398,420.0663,0.031095495
787.5,420.0807,0.031172123
787.602,420.0966,0.031248864
787.698,420.1106,0.031321194
787.8,420.1266,0.031398149
787.902,420.1409,0.031475213
787.998,420.1565,0.031547842
788.1,420.1713,0.03162512
788.202,420.1861,0.031702505
788.298,420.2014,0.031775438
788.4,420.2155,0.031853035
788.502,420.2309,0.031930739
788.598,420.246,0.032003972
788.7,420.261,0.032081884
788.802,420.2764,0.032159905
788.898,420.2915,0.032233435
789,420.3064,0.032311667
789.102,420.3211,0.032390006
789.198,420.3356,0.032463837
789.3,420.3511,0.032542391
789.402,420.3656,0.032621052
789.498,420.3814,0.032695185
789.6,420.3963,0.032774061
789.702,420.4121,0.032853045
789.798,420.4253,0.032927481
789.9,420.441,0.033006682
790.002,420.457,0.033085996
790.098,420.4704,0.033160747
790.2,420.4861,0.033240279
790.302,420.5004,0.033319918
790.398,420.5163,0.033394972
790.5,420.5315,0.033474826
790.602,420.5469,0.033554793
790.698,420.5614,0.033630162
790.8,420.5769,0.033710353
790.902,420.5916,0.033790657
790.998,420.6069,0.033866337
791.1,420.6227,0.033946849
791.202,420.6368,0.03402747
791.298,420.6514,0.03410345
791.4,420.6667,0.034184287
791.502,420.6817,0.034265236
791.598,420.6963,0.034341524
791.7,420.7116,0.03442269
791.802,420.7267,0.034503963
791.898,420.7419,0.034580555
792,420.7564,0.034662046
792.102,420.7714,0.03474365
792.198,420.7865,0.034820559
792.3,420.8018,0.034902387
792.402,420.8166,0.034984322
792.498,420.8308,0.035061537
792.6,420.8454,0.035143683
792.702,420.8621,0.03522594
792.798,420.8769,0.035303464
792.9,420.8916,0.035385945
793.002,420.9063,0.035468538
793.098,420.9216,0.035546376
793.2,420.9375,0.035629188
793.302,420.9528,0.03571211
793.398,420.9674,0.035790256
793.5,420.9815,0.035873393
793.602,420.9965,0.035956637
793.698,421.0119,0.036035084
793.8,421.0266,0.036118539
793.902,421.0422,0.036202105
793.998,421.0561,0.036280858
794.1,421.0716,0.036364642
794.202,421.0864,0.036448539
794.298,421.1012,0.036527603
794.4,421.1163,0.036611714
794.502,421.1321,0.036695933
794.598,421.1478,0.036775292
794.7,421.162,0.036859714
794.802,421.177,0.036944243
794.898,421.192,0.037023902
795,421.2074,0.037108651
795.102,421.2219,0.037193514
795.198,421.2369,0.037273493
795.3,421.2526,0.03735858
795.402,421.2675,0.037443774
795.498,421.2826,0.037524059
795.6,421.2977,0.03760947
795.702,421.3127,0.037694992
795.798,421.3276,0.037775583
795.9,421.3421,0.037861316
796.002,421.3578,0.037947157
796.098,421.3721,0.038028048
796.2,421.3873,0.038114104
796.302,421.4019,0.038200267
796.398,421.4173,0.038281461
796.5,421.4322,0.038367835
796.602,421.4469,0.03845432
796.698,421.4626,0.038535823
796.8,421.4768,0.038622523
796.902,421.4916,0.038709323
796.998,421.508,0.038791115
797.1,421.5219,0.038878122
